"ar,mf",Stauffer,Lower Level,Microfilms - Art Collection Cabinets,,SLLL,A,ZZ,Microfilms - Art Collection Cabinets,
"ar,n",Stauffer,2nd Floor,Art Collection (non-circulating),,SL2,A,ZZ,Art Collection (non-circulating),
"ar,ov",Stauffer,2nd Floor,Art Collection - Flat Folios,,SL2,A,ZZ,Art Collection - Flat Folios,
"ar,rb",Stauffer,Information Services,Rare Books,,SL1IS,A,ZZ,Rare Books,
"ar,rf",Stauffer,1st Floor,Reference,,SL1,A,ZZ,Art Library - Reference,
"ar,rs24",Stauffer,Information Services,Art Reserve 24hr,,SL1IS,A,ZZ,Art Reserve 24hr,
"ar,rss",Stauffer,Information Services,Art Reserve 3hr,,SL1IS,A,ZZ,Art Reserve 3hr,
ar,Stauffer,Information Services,Reserve Item,RESERVE,SL1IS,A,ZZ,Special Case - QCAT did not send a call number,
article,Stauffer,Information Services,Electronic Article *Web,,SL1IS,A,ZZ,E-Article,*Web
article-qu,Stauffer,Information Services,Electronic Article *Web (Queen's access only),,SL1IS,A,ZZ,E-Article Queen's only,*Web (Queen's access only)
"bi,he",Stauffer,Information Services,Fowler Herbarium (Biology Dept.),,SL1IS,A,ZZ,Biology Herbarium,Fowler Herbarium (Biology Dept.)
CTS-CONTIN,Stauffer,Information Services,CENTRAL CONTINUATIONS,,SL1IS,A,ZZ,CENTRAL CONTINUATIONS,
CTS-MONO,Stauffer,Information Services,CENTRAL MONOGRAPHS,,SL1IS,A,ZZ,CENTRAL MONOGRAPHS,
CTS-PERIOD,Stauffer,Information Services,CENTRAL PERIODICALS,,SL1IS,A,ZZ,CENTRAL PERIODICALS,
do,Stauffer,Lower Level,Documents,,SLLL,A,ZZ,Documents,
do,Stauffer,Lower Level,Stauffer Library - Documents,,SLLL,A,ZZ,Lower Level,Stauffer Library - Documents
"do,afo",Stauffer,Lower Level,Documents (Atlas folios),,SLLL,A,ZZ,Documents (Atlas folios),
"do,cs",Stauffer,Lower Level,Documents (Compact shelving),,SLLL,A,ZZ,Documents (Compact shelving),
"do,csn",Stauffer,Lower Level,Documents (Compact shelving) (non-circ),,SLLL,A,ZZ,Documents (Compact shelving) (non-circ),
"do,fo",Stauffer,Lower Level,Documents (Folio shelves),,SLLL,A,ZZ,Documents (Folio shelves),
"do,fon",Stauffer,Lower Level,Documents (Folio shelves-noncirc),,SLLL,A,ZZ,Documents (Folio shelves-noncirc),
"do,mclg",Stauffer,Lower Level,Microform Collection,RESERVE,SLLLIS,A,ZZ,Documents (Microlog),
"do,mf",Stauffer,Lower Level,Documents (Microforms),,SLLL,A,ZZ,Documents (Microforms),
"do,mflm",Stauffer,Lower Level,Documents (Microfilm),,SLLL,A,ZZ,Documents (Microfilm),
"do,mfs",Stauffer,Lower Level,Documents (Microfiche in Stacks),,SLLL,A,ZZ,Documents (Microfiche in Stacks),
"do,n",Stauffer,Lower Level,Documents (non-circulating),,SLLL,A,ZZ,Information Services,Stauffer Library - Documents (non-circulating)
"do,rd",Stauffer,Lower Level,Documents (Reference Collection),,SLLL,A,ZZ,Documents (Reference Collection),
"do,rf",Stauffer,Lower Level,Documents (Reference Collection),,SLLL,A,ZZ,Documents (Reference Collection),
"do,ssdc",Stauffer,Lower Level,Documents (Data Centre),,SLLL,A,ZZ,Documents (Data Centre),
"do,st",Stauffer,Information Services,Documents (Storage),,SLLLIS,A,ZZ,Documents (Storage),
"do,stn",Stauffer,Information Services,Documents (Storage) (non-circ),,SLLLIS,A,ZZ,Documents (Storage) (non-circ),
do,Stauffer,Information Services,Documents Reserve Item,RESERVE,SLLLIS,A,ZZ,Special Case - QCAT did not send a call number,
DOC-ACQ,Stauffer,Information Services,DOCUMENTS ACQUISITIONS,,SLLLIS,A,ZZ,Information Services,DOCUMENTS ACQUISITIONS
down,Stauffer,Information Services,Remote Storage (Downsview),,SL1IS,A,ZZ,Information Services,Remote Storage (Downsview)
e-music,Stauffer,Information Services,Online Music *Web (Queen's access only),,SL1IS,A,ZZ,Online Music,*Web (Queen's access only)
e-video,Stauffer,Information Services,Online Video *Web (Queen's access only),,SL1IS,A,ZZ,Online Video,*Web (Queen's access only)
eb,Stauffer,Information Services,Electronic Books *Web (Queen's access only),,SL1IS,A,ZZ,Electronic Books,*Web (Queen's access only)
"eb,blkimp",Stauffer,Information Services,Electronic Books *Web (Queen's access only),,SL1IS,A,ZZ,Electronic Books - BLKIMP,*Web (Queen's access only)
"eb,free",Stauffer,Information Services,Electronic Books *Web (Free),,SL1IS,A,ZZ,Electronic Books--FREE,*Web
"eb,freeblk",Stauffer,Information Services,*Web,,SL1IS,A,ZZ,Electronic Books-FREEblk,*Web
"eb,hs",Stauffer,Information Services,*Web (Queen's access only),,SL1IS,A,ZZ,Electronic Book (Bracken),*Web (Queen's access only)
"eb,sersol",Stauffer,Information Services,*Web (Queen's access only),,SL1IS,A,ZZ,Electronic Books - SerSol,*Web (Queen's access only)
ej,Stauffer,Information Services,Electronic Journals *Web (Queen's access only),,SL1IS,A,ZZ,Electronic Jrnls--QU only,*Web (Queen's access only)
